項番,活動時期,活動種類,活動内容,
I-001,2010/12,月刊誌,討論近藤誠「抗がん剤は効かない」のか,文藝春秋　2011年2月号
I-002,2011/1,原稿,卒業おめでとうと・・・・・,立教セカンドステージ大学　卒業アルバム
I-003,2011,原稿,井上君のパンフ,立教大学全学共通カリキュラム講義「大学と現代社会」
I-004,2011/1/18,原稿,戦争の記憶の掘り起こしをリードする,集英社「戦争×文学」ちらし
I-005,2011/2/10,週刊誌,パウリとユング、元型と象徴、謎の赤い本、インド宇宙論,週刊文春　私の読書日記　2011年2月10日
I-006,2011/2,本,二十歳の君へ,文藝春秋社
I-007,2011/1/5,TV・ラジオ,日本の政治を進めるために　対談　岸井成格,TBS　NEWS23
I-008,2011/2/9,講演・シンポ・授業,体験を伝えるデジタルミュージアム,日本バーチャルリアリティ学会（印刷博物館）
I-009,2011/2/12,講演・シンポ・授業,がん医療における看護師の役割の比類ない重要性と比類ないストレスの大きさ,第25回日本がん看護学会（兵庫県）
I-010,2011/2/20,講演・シンポ・授業,常識と限界を打ち破れ,FIRSTサイエンスフォーラム（大阪府）
I-011,2011/2/21,講演・シンポ・授業,生命科学へ挑むスーパーコンピューターへの期待,第3回バイオスーパーコンピューティングシンポジウム（兵庫県）
I-012,2011/2/14,講演・シンポ・授業,超大型レーザーによる高エネルギー密度科学の展開,日本学術会議
I-013,2011/2,月刊誌,自力で生き抜くほかほかない,文藝春秋　アンケート　2011年4月号
I-014,2011/1/18,講演・シンポ・授業,いまなぜ戦争の記憶か,立教大学大学院21世紀社会デザイン研究科　最終講義
I-015,2011/3,TV・ラジオ,爆笑問題の日曜サンデー　,TBSラジオ　2011年3月27日
I-016,2011,新聞,丸山真男,朝日新聞
I-017,2011/2/28,TV・ラジオ,ラジオ版学問のすすめ  20歳の君へ,ジャパンエフエムネットワーク　2011年3月27日放送
I-018,2011/3,原稿,シラバス,立教セカンドステージ大学
I-019,2011/3,週刊誌,抗がん剤は本当に効かないのか,サンデー毎日  がんの本
I-020,2011/3/20,週刊誌,巻頭随筆、フリーメイスン、朝日の中国侵略,週刊文春　私の読書日記　2011年3月17日
I-021,2011/3,週刊誌,「新しいこの国の形」対談　堺屋太一,週刊文春　2011年4月7日
I-022,2011/3/20,月刊誌,ウィキリークス時代の衝撃,朝日　Journalism　2011年4月号
I-023,2011/2,新聞,転換期の書店と出版を語る　対談　佐野衛,読書人　2011年3月25日
I-024,2011/2,週刊誌,苦難を乗り越える1冊「すべてはどのように終わるのか」,週刊文春　2011年3月31日
I-025,2011/3,月刊誌,大宅賞　講評,文藝春秋　2011年5月号
I-026,2011/3,月刊誌,巻頭言（1）日本再生　一　PTG第2世代へ,文藝春秋　巻頭言　2011年5月号
I-027,2011/4,週刊誌,原発政策、オウムの精神史、移行化石と進化,週刊文春　私の読書日記　2011年4月21日
I-028,2011/4,原稿,戦争の記憶の掘り起こしをリードする,集英社「戦争×文学」ちらし
I-029,2011/4/16,講演・シンポ・授業,ヒロシマ、ナガサキ、アウシュビッツ、大震災,桐光学園
I-030,2011/4/27,講演・シンポ・授業,見聞伝,東京大学立花隆ゼミ
I-031,2011/5/1,新聞,「なぜ」問い続ける　空から見た被災地,共同通信　5月16日
I-032,2011/5/2,新聞,次は必ずはね返す　空から見た被災地,共同通信　5月17日
I-033,2011/4,月刊誌,巻頭言（2）日本再生　二　ひこばえ,文藝春秋　巻頭言　2011年6月号
I-034,2011/5,月刊誌,ひとはなぜ宇宙に憧れる？,集英社　kotoba　2011年夏号
I-035,2011/5,原稿,竜子葬儀,出版クラブ　2011年5月
I-036,2011/5/23,講演・シンポ・授業,アジェンダの整理と若干の私見,経済産業省
I-037,2011/5/21,TV・ラジオ,田勢康弘の週刊ニュース新書　原発,テレビ東京
I-038,2011/5,原稿,今、新たに戦争を伝えるために,集英社「戦争×文学」　月報2
I-039,2011/5,週刊誌,大震災、旧石器考古学、宇宙の「悪の枢軸」,週刊文春　私の読書日記　2011年6月9日
I-040,2011/5,月刊誌,巻頭言（3）日本再生　三　現代のグスコーブドリ,文藝春秋　巻頭言　2011年7月号
I-041,2011/6/7,講演・シンポ・授業,宇宙時代の人間・社会・文化,第28回宇宙技術および科学の国際シンポジウム（沖縄県）
I-042,2011/6/12,講演・シンポ・授業,宇宙と生命　―宇宙に仲間はいるのかⅡ―,第11回自然科学研究機構シンポジウム（名古屋）
I-043,2011/6,月刊誌,宇宙進出の“隠された真実”,集英社　kotoba　2011年夏号
I-044,2011/7,TV・ラジオ,100年インタビュー,NHKBS　100年インタビュー　2011年8月7日
I-045,2011/7,週刊誌,米軍基地観光、ドストエフスキー、中国共産党の秘密,週刊文春　私の読書日記　2011年7月14日
I-046,2011/7/12,講演・シンポ・授業,エネルギー問題,経済産業省　会議資料　2011年7月12日
I-047,2011/7,月刊誌,巻頭言（4）日本再生　四　沖縄訪問記,文藝春秋　巻頭言　2011年8月号
I-048,2011/7/23,講演・シンポ・授業,次世代に語り継ぐ戦争,広島平和記念資料館　集英社
I-049,2011/7/31,講演・シンポ・授業,次世代に語り継ぐ戦争,長崎原爆資料館　集英社
I-050,2011/7,原稿,香月康男　長大な変奏曲集,別冊太陽 日本のこころ188
I-051,2011/8,月刊誌,巻頭言（5）日本再生　五　LNGの底力,文藝春秋　巻頭言　2011年9月号
I-052,2011/8,原稿,ノンフィクション選評・選考会録,講談社
I-053,2011/8,週刊誌,写真で見るヒロシマ・ナガサキ、原発と原爆,週刊文春　私の読書日記　2011年9月1日
I-054,2011/8,月刊誌,巻頭言（6）日本再生　六　来たるべき大革命,文藝春秋　巻頭言　2011年10月号
I-055,2011/8,本,生命の未来を変えた男　山中伸弥　NHK取材班,文藝春秋社
I-056,2011/8,原稿,私と香月泰男　生誕100年記念「私の旅」欧州スケッチ集,香月泰男美術館（山口県）
I-057,2011/8/5,講演・シンポ・授業,出版界への提言,日本出版クラブ
I-058,2011/8/16,TV・ラジオ,夢の光　SACLA,TBS　NEWS23
I-059,2011/6,月刊誌,はやぶさが持ち帰った宇宙のロマン,日本サムスン季刊誌「いい人に会う」16号（2011年夏）
I-060,2011/9,週刊誌,アウシュヴィッツの回想、記憶の減衰、春画,週刊文春　私の読書日記　2011年10月6日
I-061,2011/7/29,TV・ラジオ,長崎講演について,KTNテレビ長崎　ニュース　2011年7月31日
I-062,2011/9/11,講演・シンポ・授業,次世代に語り継ぐ戦争,早稲田大学（東京都）
I-063,2011/10,月刊誌,「田中角栄の恋文」研究,文藝春秋　2011年11月号
I-064,2011/10,月刊誌,巻頭言（7）日本再生　七　ドジョウ総理の未来,文藝春秋　巻頭言　2011年11月号
I-065,2011/9/27,講演・シンポ・授業,私と香月泰男,香月美術館（山口県）
I-066,2011/9,原稿,教育の基本は言葉を交わすこと,大修館　国語教室　2011年11月
I-067,2011/10/11,講演・シンポ・授業,歴史と現在　共産党　対談　原武史,明治学院大学
I-068,2011/1,週刊誌,小沢一郎よ　お前はすでにおわっている,週刊現代　2011年10月29日
I-069,2011/10/23,講演・シンポ・授業,セカンドステージと私,立教セカンドステージ大学
I-070,2011/11/4,講演・シンポ・授業,電子書籍と立花隆全集,イーブック記者会見
I-071,2011/11,原稿,祝　10ペタ達成,スーパーコンピュータ　2011年11月
I-072,2011/11/18,講演・シンポ・授業,KEKBからSuperKEKBに向かう意味,SuperKEKB開始記念式（KEK小林ホール、茨城県）
I-073,2011/11,本,心のくすり　がんと向き合う,文藝春秋社
