No.,番組名,副題,放送年月日
1,第73回　放送記念日記念式典,,
2,歌と音のドキュメント　激動の昭和,昭和惜別編4－1,
3,NHKニュース,田中前首相　けさ修正申告,1975年3月12日
4,NHKニュース,田中前首相の資産問題　参院決算委が警告決議,1975年6月6日
5,NHKニュース,新星企業の初公判　2被告起訴事実認める　田中資産問題,1975年10月29日
6,NHKニュース,新星企業事件で山田前社長らに有罪判決,1975年12月12日
7,NHKニュース,日米韓防空識別の暗号　公明党の矢野書記長が追及　衆院予算委,1976年1月30日
8,NHKニュース,ロッキード事件公判　傍聴希望者　早朝から列をなす,1977年1月27日
9,NHKニュース,信濃川河川敷の半分は室町産業　あす用途廃止の処分,1977年10月31日
10,NHKニュース,日商岩井事件初公判　～評論家に初公判の印象をきく～,1979年10月12日
11,NHKニュース,板野元社長逮捕で新局面へ　～政界との癒着解明へ～,1980年4月6日
12,NHKニュース,浜田代議士辞職　～立花隆氏のインタビュー～,1980年4月11日
13,NHKニュース,衆院解散について有識者に聞く,1980年5月17日
14,NHKニュース,田中の検事調査朗読　当面被告人質問せず　～ロッキード事件公判～,1981年2月18日
15,NHKニュース,田中角栄　被告人供述を拒否　～ロッキード裁判～,1981年2月18日
16,NHKニュース,ロッキード事件・丸紅ルート　被告弁護団反論へ　　評論家・立花隆氏インタビュー,1981年4月6日
17,NHKニュース,小佐野に実刑判決　ロッキード裁判　～立花隆氏談～,1981年11月5日
18,YOU,いまカメラマンをめざす君たちに　青春プレイバック・立花隆,1982年5月1日
19,NHKニュース,橋本　佐藤に有罪判決　立花隆氏の談話,1982年6月8日
20,NHKニュース,政治家被告に有罪判決　～ロッキード裁判～　きょうのドキュメント,1982年6月8日
21,NHKニュース,檜山の被告人質問　審理は大詰めへ　～ロッキード丸紅ルート～,1982年11月24日
22,NHKニュース,中曽根内閣発足,1982年11月27日
23,NHKニュース,田中被告人質問＂5億円＂全面否認　～ロッキード事件丸紅ルート～,1982年12月22日
24,ニュースウィークリー　№89,ロッキード事件田中角栄に被告人質問,1982年12月26日
25,NHKニュース,＂起訴事実の証明十分＂田中へ論告求刑始まる　ロ事件丸紅ルート,1983年1月26日
26,NHKニュース,田中に懲役5年の求刑　立花隆さんの話,1983年1月26日
27,NHKニュース,「5億円受け取らず」田中側無罪論展開　～ロッキード事件丸紅ルート最終弁論～,1983年5月11日
28,NHKニュース,ロッキード事件丸紅ルート　最終弁論終わる　～職務権限は起訴事実を全面否定～,1983年5月13日
29,ニュースウィークリー　№108,ロッキード事件丸紅ルート　最終弁論,1983年5月15日
30,NHKニュース,ロ事件丸紅ルート結審　秋に注目の判決　～東京地裁～,1983年6月17日
31,ニュースウィークリー　№113,丸紅側最終弁論　～ロッキード事件～,1983年6月19日
32,NHKニュース,ロッキード事件　丸紅ルートに判決　評論家に聞く,1983年10月12日
33,教育テレビフェスティバル―教育テレビ放送開始25周年―,＜第1部＞＜第2部＞＜教育テレビで学ぶ人・考える人＞,1984年1月8日
34,NHKニュースワイド,ロッキード事件　秘密代理人の児玉誉士夫被告死去,1984年1月18日
35,ニュースウィークリー　№141,ロッキード事件の被告　児玉誉士夫　死去,1984年1月22日
36,NHKニュース,小佐野被告控訴審　1審の“実刑”破棄　執行猶予の判決　～東京高裁～,1984年4月27日
37,ニュースウィークリー　№153,ロッキード事件　小佐野賢治　控訴審で執行猶予の判決　　　　（4月27日）,1984年4月29日
38,NHK教養セミナー,21世紀への科学　「心臓への挑戦」（1）移植を支える最新医療,1984年7月5日
39,NHK教養セミナー,21世紀への科学　「心臓への挑戦」（2）開発進む人工心臓,1984年7月6日
40,ETV8,事実が語る時代　2　ノンフィクションの系譜,1986年2月4日
41,チャンネルフラッシュ,「第1回全日本女子柔道選手権大会」「NHK特集その日～1995年･日本」―未知への離陸―ほか,1986年3月2日
42,ETV8,立花隆ティーチ・イン　医学生と死を語る　1　脳死の周辺,1986年3月3日
43,ETV8,立花隆ティーチ・イン　医学生と死を語る　2　死を迎えるための医療,1986年3月4日
44,ニュースセンター9時,若狭全日空会長　ロ事件2審も有罪　立花隆氏「企業論理容認の判決　がっかり」,1986年5月28日
45,ニュースウィークリー,ロッキード事件「丸紅ルート」結審　（6月18日）,1986年6月22日
46,NHKニュース,法律家の立場から脳死を考える　～日弁連のシンポジウム～,1986年10月17日
47,NHKニュース,ロッキード事件被告　小佐野賢治氏　死去　立花・金丸談話,1986年10月27日
48,ETV8,DATの衝撃　技術革新の光と影,1987年2月26日
49,ひるのプレゼント,「にっぽん家賃3万円物語」（3）,1987年5月27日
50,NHKニュース,第2回脳死と臓器移植をめぐる人権シンポジウム,1987年6月2日
51,NHKニュース,ロッキード事件控訴審　田中元首相　実刑判決　～田中　榎本　檜山被告は直ちに上告～,1987年7月29日
52,NHKライブラリー選集,ドキュメンタリー　メッシュマップ東京　（昭和49年11月13日放送）,1988年2月20日
53,地域スペシャル「ほっかいどうスペシャル」,北海道二つの農協　立花隆リポート,1988年2月27日
54,NHKニュース・トゥデー,信濃川河川敷訴訟　原告の元地主が敗訴　田中元首相　企業と一体とはいえない（新潟地裁長岡支部）,1988年6月15日
55,懐かしの大河ドラマ（3）,わたしと大河ドラマ（88-89WORLD LIVE STATION　の1コーナー）,1988年12月28日
56,NHKニュース,リクルート事件　江副前会長ら逮捕　事件の経過と識者の声,1989年2月13日
57,NHK特集,リクルート事件・私はこう考える,1989年3月8日
58,NHKスペシャル,政治は改革できるか　～リクルート事件の衝撃～　（3）　私はこう提言する,1989年4月4日
59,NHKニュース,リクルート事件　政界取り調べ　～識者3人に聞く～,1989年5月17日
60,NHKニュース,リクルート事件　捜査終了,1989年5月29日
61,NHKニュース,リクルート事件の捜査終結,1989年5月30日
62,NHKニュース,脳死シンポ開かれる,1989年6月3日
63,ニュースウィークリー,リクルート事件終結,1989年6月4日
64,チャンネルフラッシュ,,1989年6月18日
65,NHKスペシャル,立花隆の思索紀行　南米・失楽の500年（1）　アマゾン燃ゆ,1989年6月20日
66,NHKスペシャル,立花隆の思索紀行　南米・失楽の500年（2）　神が創った銀の山,1989年6月21日
67,NHKスペシャル,立花隆の思索紀行　南米・失楽の500年（3）　ユートピアは密林に消えた,1989年6月22日
68,ETV8,アマゾン熱帯雨林を守れ,1989年9月28日
69,NHKニュース,「脳死臨調」が初会合,1990年3月28日
70,NHKスペシャル,脳死　第1部　新しい死がもたらすもの,1990年12月15日
71,NHKスペシャル　脳死,立花隆　生田房弘教授にきく（1）,1990年12月15日
72,NHKスペシャル　脳死,立花隆　伊藤正男氏にきく,1990年12月15日
73,チャンネルフラッシュ,,1991年3月3日
74,チャンネルフラッシュ,,1991年3月17日
75,NHKスペシャル,立花隆リポート　臨死体験　人は死ぬ時何を見るのか,1991年3月17日
76,NHKスペシャル,脳死　生と死の選択　日本で心臓移植は可能か,1991年6月1日
77,NHKニュース,脳死臨調の中間答申　今後の課題,1991年6月15日
78,NHKニュース,国内初の脳死肝移植　～ベルギーの脳死肝を空輸～,1991年7月12日
79,21世紀への思索,大江健三郎＆立花隆,1992年1月1日
80,NHKスペシャル,脳死移植は始まるのか,1992年2月1日
81,NHKニュース,宇宙時代をテーマに国際シンポジウム,1992年2月15日
82,NHKニュース,ロッキード事件　若狭元全日空会長の上告棄却　有罪確定　～立花隆さんインタビュー～,1992年9月18日
83,NHKニュース,自民党の金丸前副総裁が議員辞職を表明　有識者にきく,1992年10月14日
84,不思議宇宙は夢の旅,対談・新たなる出発,1993年1月1日
85,NHKミッドナイトジャーナル,ホットジャーナル（特集）　苦戦する科学雑誌,1993年1月27日
86,BSスペシャル　青春TVタイムトラベル,第6回　NC9の誕生　～ニュースを変えた1000日～,1993年2月27日
87,放送記念日特集,ドキュメンタリーとは何か　立花隆の連続討論,1993年3月22日
88,ETV特集,コリン・ウィルソン　立花隆　未知への対話　第1回　アウトサイダーを超えて,1993年4月12日
89,ETV特集,コリン・ウィルソン　立花隆　未知への対話　第2回　超常現象の彼方に,1993年4月13日
90,NHKニュース,政治に直言　立花隆さん,1993年7月21日
91,NHKニュース,九州大肝臓移植手術　事実上の脳死移植か　立花隆さんの話,1993年10月22日
92,NHKニュース,テレビ朝日の椿前報道局長の証人喚問　有識者のコメント,1993年10月25日
93,NHKニュース,田中元首相が死去　立花隆氏と堺屋太一氏インタビュー,1993年12月16日
94,クローズアップ現代,田中角栄元首相とその時代,1993年12月17日
95,番組ガイド,,1994年1月9日
96,ETV特集,立花隆　シリーズ　対論1994　第1回　宗教・山折哲雄,1994年1月10日
97,ETV特集,立花隆　シリーズ　対論1994　第2回　政治・石川　好,1994年1月11日
98,ETV特集,立花隆　シリーズ　対論1994　第3回　言葉・谷川俊太郎,1994年1月12日
99,ETV特集,立花隆　シリーズ　対論1994　第4回　写真・篠山紀信,1994年1月13日
100,NHKニュース,H2ロケット　打ち上げ成功　立花隆インタビュー,1994年2月4日
101,35年目の教育テレビ～その役割と未来～,第4回　”知”のアンテナをめざして,1994年3月24日
